"Country","Operator","TADIG code","MCC/MNC","Tags","LTE Status Outbound","LTE Date Outbound","5G NSA Status Outbound","5G NSA Date Outbound"
"Portugal","MEO","PRTTM","26806","TMHR EU regulated","Live","2016-03-16","Live","2022-02-08"
"Portugal","NOS – Comunicações, S.A.","PRTOP","26803","TMHR EU regulated","Live","2015-12-30","Live","2022-01-21"
"Puerto Rico","Claro Puerto Rico","PRICL","330110",,"Live","2020-04-30","Live","2023-08-29"
"Puerto Rico","Liberty Mobile Puerto Rico Inc.","PRI01","313790","HRVCN_HUB","Live","2024-05-20","Live","2024-05-20"
"Qatar","Ooredoo Qatar","QATQT","42701",,"Live","2016-04-14","Live","2022-10-13"
"Qatar","Vodafone Qatar Q.S.C.","QATB1","42702",,"Live","2017-01-16","Live","2022-03-14"
"Romania","Digi Romania","ROM05","22605","TMHR EU regulated","Live","2024-03-08","Live","2024-03-08"
"Romania","Orange Romania","ROMMR","22610","TMHR EU regulated","Live","2015-06-05","Live","2022-05-31"
"Romania","Telekom Romania Mobile Communications S.A.","ROMCS","22603","TMHR EU regulated","Live","2016-03-24","Live","2023-11-10"
"Romania","Vodafone Romania","ROMMF","22601","TMHR EU regulated","Live","2021-06-16","N/A",
"Russian Federation","Beeline Russia","RUSBD","25099",,"Live","2016-07-06","N/A",
